Serum,Virus,Study,ID50 (Neutralization Titer)
Polyclonal AIIMS_329 102-months,CH119_10,Mishra2019_dataset1,146
Polyclonal AIIMS_329 112-months,CH119_10,Mishra2019_dataset1,92
Polyclonal AIIMS_329 117-months,CH119_10,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 124-months,CH119_10,Mishra2019_dataset1,81
Polyclonal AIIMS_329 131-months,CH119_10,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 138-months,CH119_10,Mishra2019_dataset1,73
Polyclonal AIIMS_329 78-months,CH119_10,Mishra2019_dataset1,112
Polyclonal AIIMS_329 82-months,CH119_10,Mishra2019_dataset1,136
Polyclonal AIIMS_329 90-months,CH119_10,Mishra2019_dataset1,339
Polyclonal AIIMS_330 102-months,CH119_10,Mishra2019_dataset1,367
Polyclonal AIIMS_330 112-months,CH119_10,Mishra2019_dataset1,501
Polyclonal AIIMS_330 117-months,CH119_10,Mishra2019_dataset1,412
Polyclonal AIIMS_330 124-months,CH119_10,Mishra2019_dataset1,323
Polyclonal AIIMS_330 131-months,CH119_10,Mishra2019_dataset1,302
Polyclonal AIIMS_330 138-months,CH119_10,Mishra2019_dataset1,309
Polyclonal AIIMS_330 78-months,CH119_10,Mishra2019_dataset1,<50
Polyclonal AIIMS_330 82-months,CH119_10,Mishra2019_dataset1,<50
Polyclonal AIIMS_330 90-months,CH119_10,Mishra2019_dataset1,169
polyclonal BF520,CH119_10,Simonich2016,122
polyclonal NIH45,CH119_10,Wu2010,182
polyclonal QA013,CH119_10,Williams2018,163
polyclonal NIH45,CH120_6,Wu2010,666
polyclonal N152,CH181_12,Huang2014,4947
polyclonal NIH45,CH181_12,Wu2010,257
polyclonal CH0457 wk8,CM244_EC1,Moody2015,84
polyclonal CH0457 wk96,CM244_EC1,Moody2015,93
polyclonal Donor 17,CMU02,Walker2011,<100
polyclonal Donor 24,CMU02,Walker2009a,142
polyclonal Donor 36,CMU02,Walker2011,<100
polyclonal Donor 39,CMU02,Walker2011,312
polyclonal Donor 84,CMU02,Walker2011,101.3
polyclonal N152,CNE10,Huang2014,8422
polyclonal N152,CNE12,Huang2014,2475
polyclonal N152,CNE14,Huang2014,7920
polyclonal N152,CNE15,Huang2014,29955
polyclonal Donor 31,CNE17,Falkowska2014,196
polyclonal PC64-M35,CNE17,Landais2017_dataset1,483
polyclonal PC64-M35,CNE19,Landais2017_dataset1,687
polyclonal PC64-M35,CNE20,Landais2017_dataset1,400
polyclonal PC64-M35,CNE21,Landais2017_dataset1,5061
polyclonal N152,CNE3,Huang2014,70.5
polyclonal N152,CNE30,Huang2014,3150
polyclonal PC64-M35,CNE30,Landais2017_dataset1,<50
polyclonal N152,CNE31,Huang2014,88.2
polyclonal N152,CNE4,Huang2014,13863
polyclonal N152,CNE40,Huang2014,43426
polyclonal N152,CNE5,Huang2014,38.3
polyclonal PC64-M35,CNE5,Landais2017_dataset1,977
polyclonal Donor 31,CNE52,Falkowska2014,728
polyclonal PC64-M35,CNE52,Landais2017_dataset1,<50
polyclonal N152,CNE53,Huang2014,14560
polyclonal PC64-M35,CNE53,Landais2017_dataset1,5612
Polyclonal AIIMS_329 102-months,CNE55,Mishra2019_dataset1,1364
Polyclonal AIIMS_329 112-months,CNE55,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 117-months,CNE55,Mishra2019_dataset1,87
Polyclonal AIIMS_329 124-months,CNE55,Mishra2019_dataset1,78
Polyclonal AIIMS_329 131-months,CNE55,Mishra2019_dataset1,83
Polyclonal AIIMS_329 138-months,CNE55,Mishra2019_dataset1,76
Polyclonal AIIMS_329 78-months,CNE55,Mishra2019_dataset1,148
Polyclonal AIIMS_329 82-months,CNE55,Mishra2019_dataset1,185
Polyclonal AIIMS_329 90-months,CNE55,Mishra2019_dataset1,2746
Polyclonal AIIMS_330 102-months,CNE55,Mishra2019_dataset1,748
Polyclonal AIIMS_330 112-months,CNE55,Mishra2019_dataset1,1564
Polyclonal AIIMS_330 117-months,CNE55,Mishra2019_dataset1,1656
Polyclonal AIIMS_330 124-months,CNE55,Mishra2019_dataset1,1847
Polyclonal AIIMS_330 131-months,CNE55,Mishra2019_dataset1,2549
Polyclonal AIIMS_330 138-months,CNE55,Mishra2019_dataset1,3214
Polyclonal AIIMS_330 78-months,CNE55,Mishra2019_dataset1,426
Polyclonal AIIMS_330 82-months,CNE55,Mishra2019_dataset1,449
Polyclonal AIIMS_330 90-months,CNE55,Mishra2019_dataset1,549
polyclonal BF520,CNE55,Simonich2016,113
polyclonal N152,CNE55,Huang2014,22242
polyclonal QA013,CNE55,Williams2018,100
polyclonal N152,CNE56,Huang2014,1145
polyclonal N152,CNE57,Huang2014,1687
polyclonal N152,CNE58,Huang2014,368
polyclonal PC64-M35,CNE58,Landais2017_dataset1,2346
polyclonal N152,CNE59,Huang2014,3223
polyclonal N152,CNE7,Huang2014,82869
Polyclonal AIIMS_329 102-months,CNE8,Mishra2019_dataset1,498
Polyclonal AIIMS_329 112-months,CNE8,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 117-months,CNE8,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 124-months,CNE8,Mishra2019_dataset1,71
Polyclonal AIIMS_329 131-months,CNE8,Mishra2019_dataset1,55
Polyclonal AIIMS_329 138-months,CNE8,Mishra2019_dataset1,142
Polyclonal AIIMS_329 78-months,CNE8,Mishra2019_dataset1,412
Polyclonal AIIMS_329 82-months,CNE8,Mishra2019_dataset1,241
Polyclonal AIIMS_329 90-months,CNE8,Mishra2019_dataset1,692
Polyclonal AIIMS_330 102-months,CNE8,Mishra2019_dataset1,246
Polyclonal AIIMS_330 112-months,CNE8,Mishra2019_dataset1,427
Polyclonal AIIMS_330 117-months,CNE8,Mishra2019_dataset1,442
Polyclonal AIIMS_330 124-months,CNE8,Mishra2019_dataset1,463
Polyclonal AIIMS_330 131-months,CNE8,Mishra2019_dataset1,216
Polyclonal AIIMS_330 138-months,CNE8,Mishra2019_dataset1,339
Polyclonal AIIMS_330 78-months,CNE8,Mishra2019_dataset1,72
Polyclonal AIIMS_330 82-months,CNE8,Mishra2019_dataset1,88
Polyclonal AIIMS_330 90-months,CNE8,Mishra2019_dataset1,94
polyclonal BF520,CNE8,Simonich2016,>100
polyclonal PC64-M35,CNE8,Landais2017_dataset1,<50
polyclonal QA013,CNE8,Williams2018,125
polyclonal CAP206,COT6_15,Morris2011,1256
polyclonal CAP206,COT6_15,Gray2009a,1236
polyclonal PC64-M35,DH12,Landais2017_dataset2,339
polyclonal N152,DJ263_8,Huang2014,5021
polyclonal NIH45,DJ263_8,Wu2010,31
polyclonal N152,DU123_06,Huang2014,12736
polyclonal NIH45,DU123_06,Wu2010,393
polyclonal CAP206,DU151_02,Gray2009a,105
polyclonal N152,DU151_02,Huang2014,4533
polyclonal NIH45,DU151_02,Wu2010,248
Polyclonal AIIMS_329 102-months,DU156_12,Mishra2019_dataset1,965
Polyclonal AIIMS_329 112-months,DU156_12,Mishra2019_dataset1,748
Polyclonal AIIMS_329 117-months,DU156_12,Mishra2019_dataset1,256
Polyclonal AIIMS_329 124-months,DU156_12,Mishra2019_dataset1,163
Polyclonal AIIMS_329 131-months,DU156_12,Mishra2019_dataset1,89
Polyclonal AIIMS_329 138-months,DU156_12,Mishra2019_dataset1,151
Polyclonal AIIMS_329 78-months,DU156_12,Mishra2019_dataset1,898
Polyclonal AIIMS_329 82-months,DU156_12,Mishra2019_dataset1,831
Polyclonal AIIMS_329 90-months,DU156_12,Mishra2019_dataset1,818
Polyclonal AIIMS_330 102-months,DU156_12,Mishra2019_dataset1,1299
Polyclonal AIIMS_330 112-months,DU156_12,Mishra2019_dataset1,3783
Polyclonal AIIMS_330 117-months,DU156_12,Mishra2019_dataset1,2269
Polyclonal AIIMS_330 124-months,DU156_12,Mishra2019_dataset1,1574
Polyclonal AIIMS_330 131-months,DU156_12,Mishra2019_dataset1,985
Polyclonal AIIMS_330 138-months,DU156_12,Mishra2019_dataset1,735
Polyclonal AIIMS_330 78-months,DU156_12,Mishra2019_dataset1,365
Polyclonal AIIMS_330 82-months,DU156_12,Mishra2019_dataset1,265
Polyclonal AIIMS_330 90-months,DU156_12,Mishra2019_dataset1,213
polyclonal BF520,DU156_12,Simonich2016,228
polyclonal CAP206,DU156_12,Gray2009a,692
polyclonal CAP206,DU156_12,Morris2011,232
polyclonal CAP256 Year1,DU156_12,Doria-Rose2014,<45
polyclonal CAP256 Year2,DU156_12,Doria-Rose2014,394
polyclonal CAP256 Year3,DU156_12,Doria-Rose2014,1363
polyclonal CAP256 Year4,DU156_12,Doria-Rose2014,1116
polyclonal CH0457 wk8,DU156_12,Moody2015,281
polyclonal CH0457 wk96,DU156_12,Moody2015,394
polyclonal N152,DU156_12,Huang2014,2021
polyclonal NIH45,DU156_12,Wu2010,115
polyclonal PC64-M35,DU156_12,Landais2017_dataset2,3129
polyclonal PC64-M35,DU156_12,Landais2017_dataset1,1770
polyclonal QA013,DU156_12,Williams2018,235
Polyclonal AIIMS_329 102-months,DU172_17,Mishra2019_dataset1,566
Polyclonal AIIMS_329 112-months,DU172_17,Mishra2019_dataset1,612
Polyclonal AIIMS_329 117-months,DU172_17,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 124-months,DU172_17,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 131-months,DU172_17,Mishra2019_dataset1,77
Polyclonal AIIMS_329 138-months,DU172_17,Mishra2019_dataset1,267
Polyclonal AIIMS_329 78-months,DU172_17,Mishra2019_dataset1,478
Polyclonal AIIMS_329 82-months,DU172_17,Mishra2019_dataset1,487
Polyclonal AIIMS_329 90-months,DU172_17,Mishra2019_dataset1,499
Polyclonal AIIMS_330 102-months,DU172_17,Mishra2019_dataset1,167
Polyclonal AIIMS_330 112-months,DU172_17,Mishra2019_dataset1,237
Polyclonal AIIMS_330 117-months,DU172_17,Mishra2019_dataset1,489
Polyclonal AIIMS_330 124-months,DU172_17,Mishra2019_dataset1,632
Polyclonal AIIMS_330 131-months,DU172_17,Mishra2019_dataset1,132
Polyclonal AIIMS_330 138-months,DU172_17,Mishra2019_dataset1,821
Polyclonal AIIMS_330 78-months,DU172_17,Mishra2019_dataset1,125
Polyclonal AIIMS_330 82-months,DU172_17,Mishra2019_dataset1,145
Polyclonal AIIMS_330 90-months,DU172_17,Mishra2019_dataset1,156
polyclonal BF520,DU172_17,Simonich2016,159
polyclonal CAP206,DU172_17,Gray2009a,234
polyclonal CAP256 Year1,DU172_17,Doria-Rose2014,<45
polyclonal CAP256 Year2,DU172_17,Doria-Rose2014,<45
polyclonal CAP256 Year3,DU172_17,Doria-Rose2014,<45
polyclonal CAP256 Year4,DU172_17,Doria-Rose2014,<45
polyclonal CH0457 wk8,DU172_17,Moody2015,429
polyclonal CH0457 wk96,DU172_17,Moody2015,471
polyclonal N152,DU172_17,Huang2014,2564
polyclonal NIH45,DU172_17,Scheid2011,349
polyclonal NIH45,DU172_17,Wu2010,349
polyclonal PC64-M35,DU172_17,Landais2017_dataset1,<50
polyclonal PC64-M35,DU172_17,Landais2017_dataset2,<50
polyclonal Patient 1,DU172_17,Scheid2011,228.42
polyclonal Patient 3,DU172_17,Scheid2011,418.62
polyclonal Patient 8,DU172_17,Scheid2011,86.463
polyclonal QA013,DU172_17,Williams2018,314
polyclonal BF520,DU422_1,Simonich2016,159
polyclonal CAP206,DU422_1,Gray2009a,165
polyclonal CAP206,DU422_1,Morris2011,90
polyclonal CAP256 Year1,DU422_1,Doria-Rose2014,<45
polyclonal CAP256 Year2,DU422_1,Doria-Rose2014,346
polyclonal CAP256 Year3,DU422_1,Doria-Rose2014,1907
polyclonal CAP256 Year4,DU422_1,Doria-Rose2014,1968
polyclonal CH0457 wk8,DU422_1,Moody2015,392
polyclonal CH0457 wk96,DU422_1,Moody2015,473
polyclonal Donor 31,DU422_1,Falkowska2014,328
polyclonal N152,DU422_1,Huang2014,325
polyclonal NIH45,DU422_1,Wu2010,>1000
polyclonal PC64-M35,DU422_1,Landais2017_dataset2,467
polyclonal PC64-M35,DU422_1,Landais2017_dataset1,264
polyclonal QA013,DU422_1,Williams2018,190
polyclonal NIH45,H022_7,Wu2010,427
polyclonal NIH45,H029_12,Wu2010,307
polyclonal NIH45,H030_7,Wu2010,581
polyclonal NIH45,H031_7,Wu2010,306
polyclonal NIH45,H035_18,Wu2010,>1000
polyclonal NIH45,H061_14,Wu2010,160
polyclonal NIH45,H077_31,Wu2010,50
polyclonal NIH45,H078_14,Wu2010,217
polyclonal NIH45,H079_2,Wu2010,382
polyclonal NIH45,H080_23,Wu2010,178
polyclonal N152,H086_8,Huang2014,1372
polyclonal NIH45,H086_8,Scheid2011,37
polyclonal NIH45,H086_8,Wu2010,37
polyclonal Patient 1,H086_8,Scheid2011,>132
polyclonal Patient 3,H086_8,Scheid2011,>132
polyclonal Patient 8,H086_8,Scheid2011,>132
polyclonal N152,HT593_1,Huang2014,7037
polyclonal NIH45,HT593_1,Wu2010,36
polyclonal N152,HXB2,Huang2014,6443
polyclonal PC64-M35,HXB2,Landais2017_dataset2,2356
polyclonal PC64-M35,HXB2,Landais2017_dataset1,1332
Polyclonal AIIMS_329 102-months,JRCSF,Mishra2019_dataset1,198
Polyclonal AIIMS_329 112-months,JRCSF,Mishra2019_dataset1,224
Polyclonal AIIMS_329 117-months,JRCSF,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 124-months,JRCSF,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 131-months,JRCSF,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 138-months,JRCSF,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 78-months,JRCSF,Mishra2019_dataset1,156
Polyclonal AIIMS_329 82-months,JRCSF,Mishra2019_dataset1,167
Polyclonal AIIMS_329 90-months,JRCSF,Mishra2019_dataset1,178
Polyclonal AIIMS_330 102-months,JRCSF,Mishra2019_dataset1,213
Polyclonal AIIMS_330 112-months,JRCSF,Mishra2019_dataset1,1463
Polyclonal AIIMS_330 117-months,JRCSF,Mishra2019_dataset1,652
Polyclonal AIIMS_330 124-months,JRCSF,Mishra2019_dataset1,548
Polyclonal AIIMS_330 131-months,JRCSF,Mishra2019_dataset1,717
Polyclonal AIIMS_330 138-months,JRCSF,Mishra2019_dataset1,600
Polyclonal AIIMS_330 78-months,JRCSF,Mishra2019_dataset1,165
Polyclonal AIIMS_330 82-months,JRCSF,Mishra2019_dataset1,177
Polyclonal AIIMS_330 90-months,JRCSF,Mishra2019_dataset1,198
polyclonal Donor 17,JRCSF,Walker2011,863
polyclonal Donor 24,JRCSF,Walker2009a,8425
polyclonal Donor 36,JRCSF,Walker2011,2371.1
polyclonal Donor 39,JRCSF,Walker2011,433
polyclonal Donor 84,JRCSF,Walker2011,6255.4
polyclonal N152,JRCSF,Huang2014,4641
polyclonal NIH45,JRCSF,Wu2010,15
polyclonal PC64-M35,JRCSF,Landais2017_dataset2,1987
Polyclonal AIIMS_329 102-months,JRFL,Mishra2019_dataset1,187
Polyclonal AIIMS_329 112-months,JRFL,Mishra2019_dataset1,156
Polyclonal AIIMS_329 117-months,JRFL,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 124-months,JRFL,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 131-months,JRFL,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 138-months,JRFL,Mishra2019_dataset1,71
Polyclonal AIIMS_329 78-months,JRFL,Mishra2019_dataset1,215
Polyclonal AIIMS_329 82-months,JRFL,Mishra2019_dataset1,224
Polyclonal AIIMS_329 90-months,JRFL,Mishra2019_dataset1,256
Polyclonal AIIMS_330 102-months,JRFL,Mishra2019_dataset1,211
Polyclonal AIIMS_330 112-months,JRFL,Mishra2019_dataset1,867
Polyclonal AIIMS_330 117-months,JRFL,Mishra2019_dataset1,454
Polyclonal AIIMS_330 124-months,JRFL,Mishra2019_dataset1,365
Polyclonal AIIMS_330 131-months,JRFL,Mishra2019_dataset1,469
Polyclonal AIIMS_330 138-months,JRFL,Mishra2019_dataset1,450
Polyclonal AIIMS_330 78-months,JRFL,Mishra2019_dataset1,165
Polyclonal AIIMS_330 82-months,JRFL,Mishra2019_dataset1,177
Polyclonal AIIMS_330 90-months,JRFL,Mishra2019_dataset1,187
polyclonal CAP206,JRFL,Gray2009a,<40
polyclonal Donor 17,JRFL,Walker2011,1291.5
polyclonal Donor 24,JRFL,Walker2009a,<100
polyclonal Donor 36,JRFL,Walker2011,858.2
polyclonal Donor 39,JRFL,Walker2011,471
polyclonal Donor 84,JRFL,Walker2011,348.5
polyclonal N152,JRFL,Huang2014,860
polyclonal NIH45,JRFL,Wu2010,21
polyclonal PC64-M35,JRFL,Landais2017_dataset2,<50
polyclonal N152,KER2008_12,Huang2014,8198
polyclonal NIH45,KER2008_12,Wu2010,184
polyclonal N152,KER2018_11,Huang2014,397
polyclonal NIH45,KER2018_11,Wu2010,>1000
polyclonal PC64-M35,KNH1144,Landais2017_dataset2,122
polyclonal N152,KNH1209_18,Huang2014,2457
polyclonal NIH45,KNH1209_18,Wu2010,87
polyclonal N152,M02138,Huang2014,15153
polyclonal NIH45,M02138,Wu2010,93
polyclonal N152,MB201_A1,Huang2014,4508
polyclonal N152,MB539_2B7,Huang2014,726
polyclonal Donor 17,MGRM_AG_002,Walker2011,125.5
polyclonal Donor 24,MGRM_AG_002,Walker2009a,147
polyclonal Donor 36,MGRM_AG_002,Walker2011,139.4
polyclonal Donor 39,MGRM_AG_002,Walker2011,206
polyclonal Donor 84,MGRM_AG_002,Walker2011,748
polyclonal N152,MI369_A5,Huang2014,2259
polyclonal CH0457 wk8,MN_3,Moody2015,249
polyclonal CH0457 wk96,MN_3,Moody2015,273
polyclonal N152,MN_3,Huang2014,48721
polyclonal PC64-M35,MN_3,Landais2017_dataset1,7131
polyclonal PC64-M35,MN_3,Landais2017_dataset2,2755
polyclonal N152,MS208_A1,Huang2014,14167
polyclonal NIH45,MS208_A1,Wu2010,1000
polyclonal PC64-M35,MS208_A1,Landais2017_dataset1,910
polyclonal CH0457 wk8,MW965_26,Moody2015,>43740
polyclonal CH0457 wk96,MW965_26,Moody2015,>43740
polyclonal N152,MW965_26,Huang2014,42805
polyclonal N152,NKU3006_EC1,Huang2014,12585
polyclonal Donor 17,NL43,Walker2011,418.2
polyclonal Donor 24,NL43,Walker2009a,1488
polyclonal Donor 36,NL43,Walker2011,3033.8
polyclonal Donor 39,NL43,Walker2011,1184
polyclonal Donor 84,NL43,Walker2011,3308.8
polyclonal CH0457 wk8,NP03,Moody2015,1114
polyclonal CH0457 wk96,NP03,Moody2015,1727
polyclonal PC64-M35,P0402_C2_11,Landais2017_dataset1,<50
polyclonal PC64-M35,P1981_C5_3,Landais2017_dataset1,93
polyclonal NIH45,PRB926_04_A9_4237,Wu2010,21
Polyclonal AIIMS_329 102-months,PVO_4,Mishra2019_dataset1,95
Polyclonal AIIMS_329 112-months,PVO_4,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 117-months,PVO_4,Mishra2019_dataset1,112
Polyclonal AIIMS_329 124-months,PVO_4,Mishra2019_dataset1,73
Polyclonal AIIMS_329 131-months,PVO_4,Mishra2019_dataset1,164
Polyclonal AIIMS_329 138-months,PVO_4,Mishra2019_dataset1,353
Polyclonal AIIMS_329 78-months,PVO_4,Mishra2019_dataset1,96
Polyclonal AIIMS_329 82-months,PVO_4,Mishra2019_dataset1,85
Polyclonal AIIMS_329 90-months,PVO_4,Mishra2019_dataset1,74
Polyclonal AIIMS_330 102-months,PVO_4,Mishra2019_dataset1,489
Polyclonal AIIMS_330 112-months,PVO_4,Mishra2019_dataset1,775
Polyclonal AIIMS_330 117-months,PVO_4,Mishra2019_dataset1,1159
Polyclonal AIIMS_330 124-months,PVO_4,Mishra2019_dataset1,1347
Polyclonal AIIMS_330 131-months,PVO_4,Mishra2019_dataset1,214
Polyclonal AIIMS_330 138-months,PVO_4,Mishra2019_dataset1,1438
Polyclonal AIIMS_330 78-months,PVO_4,Mishra2019_dataset1,<50
Polyclonal AIIMS_330 82-months,PVO_4,Mishra2019_dataset1,78
Polyclonal AIIMS_330 90-months,PVO_4,Mishra2019_dataset1,324
polyclonal BF520,PVO_4,Simonich2016,119
polyclonal CAP206,PVO_4,Gray2009a,<40
polyclonal CAP256 Year1,PVO_4,Doria-Rose2014,47
polyclonal CAP256 Year2,PVO_4,Doria-Rose2014,53
polyclonal CAP256 Year3,PVO_4,Doria-Rose2014,86
polyclonal CAP256 Year4,PVO_4,Doria-Rose2014,47
polyclonal CH0457 wk8,PVO_4,Moody2015,574
polyclonal CH0457 wk96,PVO_4,Moody2015,662
polyclonal Donor 17,PVO_4,Walker2011,212.9
polyclonal Donor 24,PVO_4,Walker2009a,171
polyclonal Donor 31,PVO_4,Falkowska2014,131
polyclonal Donor 36,PVO_4,Walker2011,420.8
polyclonal Donor 39,PVO_4,Walker2011,123
polyclonal Donor 84,PVO_4,Walker2011,239.4
polyclonal N152,PVO_4,Huang2014,359
polyclonal NIH45,PVO_4,Scheid2011,195
polyclonal NIH45,PVO_4,Wu2010,195
polyclonal PC64-M35,PVO_4,Landais2017_dataset2,81
polyclonal PC64-M35,PVO_4,Landais2017_dataset1,<50
polyclonal Patient 1,PVO_4,Scheid2011,89
polyclonal Patient 12,PVO_4,Scheid2011,116.3
polyclonal Patient 3,PVO_4,Scheid2011,78.1
polyclonal Patient 8,PVO_4,Scheid2011,74.1
Polyclonal AIIMS_329 102-months,Q168_A2,Mishra2019_dataset1,136
Polyclonal AIIMS_329 112-months,Q168_A2,Mishra2019_dataset1,159
Polyclonal AIIMS_329 117-months,Q168_A2,Mishra2019_dataset1,212
Polyclonal AIIMS_329 124-months,Q168_A2,Mishra2019_dataset1,102
Polyclonal AIIMS_329 131-months,Q168_A2,Mishra2019_dataset1,91
Polyclonal AIIMS_329 138-months,Q168_A2,Mishra2019_dataset1,99
Polyclonal AIIMS_329 78-months,Q168_A2,Mishra2019_dataset1,75
Polyclonal AIIMS_329 82-months,Q168_A2,Mishra2019_dataset1,88
Polyclonal AIIMS_329 90-months,Q168_A2,Mishra2019_dataset1,121
Polyclonal AIIMS_330 102-months,Q168_A2,Mishra2019_dataset1,413
Polyclonal AIIMS_330 112-months,Q168_A2,Mishra2019_dataset1,1029
Polyclonal AIIMS_330 117-months,Q168_A2,Mishra2019_dataset1,849
Polyclonal AIIMS_330 124-months,Q168_A2,Mishra2019_dataset1,913
Polyclonal AIIMS_330 131-months,Q168_A2,Mishra2019_dataset1,697
Polyclonal AIIMS_330 138-months,Q168_A2,Mishra2019_dataset1,874
Polyclonal AIIMS_330 78-months,Q168_A2,Mishra2019_dataset1,300
Polyclonal AIIMS_330 82-months,Q168_A2,Mishra2019_dataset1,323
Polyclonal AIIMS_330 90-months,Q168_A2,Mishra2019_dataset1,355
polyclonal BF520,Q168_A2,Simonich2016,<100
polyclonal CAP206,Q168_A2,Gray2009a,<40
polyclonal CAP256 Year1,Q168_A2,Doria-Rose2014,<45
polyclonal CAP256 Year2,Q168_A2,Doria-Rose2014,70
polyclonal CAP256 Year3,Q168_A2,Doria-Rose2014,2349
polyclonal CAP256 Year4,Q168_A2,Doria-Rose2014,352
polyclonal N152,Q168_A2,Huang2014,509
polyclonal NIH45,Q168_A2,Wu2010,110
polyclonal QA013,Q168_A2,Williams2018,136
polyclonal QA013,Q168_B23,Williams2018,1596
polyclonal BF520,Q23_17,Simonich2016,339
polyclonal CAP206,Q23_17,Gray2009a,320
polyclonal CAP256 Year1,Q23_17,Doria-Rose2014,<45
polyclonal CAP256 Year2,Q23_17,Doria-Rose2014,171
polyclonal CAP256 Year3,Q23_17,Doria-Rose2014,1107
polyclonal CAP256 Year4,Q23_17,Doria-Rose2014,448
polyclonal CH0457 wk8,Q23_17,Moody2015,433
polyclonal Donor 31,Q23_17,Falkowska2014,465
polyclonal N152,Q23_17,Huang2014,5898
polyclonal NIH45,Q23_17,Wu2010,33
polyclonal PC64-M35,Q23_17,Landais2017_dataset1,22073
polyclonal QA013,Q23_17,Williams2018,259
polyclonal CAP256 Year1,Q259_17,Doria-Rose2014,<45
polyclonal CAP256 Year2,Q259_17,Doria-Rose2014,792
polyclonal CAP256 Year3,Q259_17,Doria-Rose2014,114
polyclonal CAP256 Year4,Q259_17,Doria-Rose2014,433
polyclonal CH0457 wk8,Q259_17,Moody2015,51
polyclonal N152,Q259_17,Huang2014,953
polyclonal PC64-M35,Q259_17,Landais2017_dataset1,132
polyclonal BF520,Q259_D2_26,Simonich2016,121
polyclonal NIH45,Q259_W6,Wu2010,13
polyclonal BF520,Q461_D1_PNS0D,Simonich2016,480
polyclonal QA013,Q461_D1_PNS0D,Williams2018,418
polyclonal CAP206,Q461_E2,Gray2009a,<40
polyclonal CAP256 Year1,Q461_E2,Doria-Rose2014,<45
polyclonal CAP256 Year2,Q461_E2,Doria-Rose2014,<45
polyclonal CAP256 Year3,Q461_E2,Doria-Rose2014,422
polyclonal CAP256 Year4,Q461_E2,Doria-Rose2014,127
polyclonal CH0457 wk8,Q461_E2,Moody2015,442
polyclonal Donor 31,Q461_E2,Falkowska2014,162
polyclonal N152,Q461_E2,Huang2014,4282
polyclonal NIH45,Q461_E2,Wu2010,>1000
polyclonal PC64-M35,Q461_E2,Landais2017_dataset1,<50
polyclonal BF520,Q769_B9_PNS79D,Simonich2016,<100
polyclonal CAP256 Year1,Q769_D22,Doria-Rose2014,<45
polyclonal CAP256 Year2,Q769_D22,Doria-Rose2014,<45
polyclonal CAP256 Year3,Q769_D22,Doria-Rose2014,<45
polyclonal CAP256 Year4,Q769_D22,Doria-Rose2014,<45
polyclonal CH0457 wk8,Q769_D22,Moody2015,273
polyclonal N152,Q769_D22,Huang2014,1834
polyclonal PC64-M35,Q769_D22,Landais2017_dataset1,<50
polyclonal N152,Q769_H5,Huang2014,836
polyclonal NIH45,Q769_H5,Wu2010,67
polyclonal BF520,Q842_D12,Simonich2016,115
polyclonal CAP206,Q842_D12,Gray2009a,<40
polyclonal CAP256 Year1,Q842_D12,Doria-Rose2014,<45
polyclonal CAP256 Year2,Q842_D12,Doria-Rose2014,47
polyclonal CAP256 Year3,Q842_D12,Doria-Rose2014,658
polyclonal CAP256 Year4,Q842_D12,Doria-Rose2014,602
polyclonal CH0457 wk8,Q842_D12,Moody2015,3296
polyclonal N152,Q842_D12,Huang2014,7407
polyclonal NIH45,Q842_D12,Scheid2011,50
polyclonal NIH45,Q842_D12,Wu2010,50
polyclonal Patient 1,Q842_D12,Scheid2011,12.196
polyclonal Patient 3,Q842_D12,Scheid2011,6.168
polyclonal Patient 8,Q842_D12,Scheid2011,4.056
polyclonal BF520,Q842_D16,Simonich2016,306
polyclonal QA013,Q842_D16,Williams2018,170
polyclonal QA013,QA790_204I_C1,Williams2018,999
polyclonal BF520,QB857_110I_B3,Simonich2016,142
polyclonal QA013,QB857_110I_B3,Williams2018,319
polyclonal BF520,QC406_70M_F3,Simonich2016,922
polyclonal QA013,QC406_70M_F3,Williams2018,446
polyclonal BF520,QD435_100M_A4,Simonich2016,110
polyclonal QA013,QD435_100M_A4,Williams2018,446
polyclonal N152,QH0515_1,Huang2014,7984
polyclonal NIH45,QH0515_1,Wu2010,>1000
Polyclonal AIIMS_329 102-months,QH0692_42,Mishra2019_dataset1,289
Polyclonal AIIMS_329 112-months,QH0692_42,Mishra2019_dataset1,112
Polyclonal AIIMS_329 117-months,QH0692_42,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 124-months,QH0692_42,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 131-months,QH0692_42,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 138-months,QH0692_42,Mishra2019_dataset1,61
